,Level B ,Level C,
 हो दळभद्री राजकारणी ,UNT,NULL,
 त्याला हिंमत नाही बावळट पणा बोलतात चोंग्या  लायकीच सडक छाप धंदे करायची आहे 🤣 ,TIN,IND,
 तुम्ही भिकारचोट वृत्त वाहिनी आहात आणि तुमच्यात दम नाही असं वाटतं  ,TIN,IND,
 चाट ना त्यांची तोंडात घे भक्ताड ,TIN,IND,
 तूजी दळभद्री मानसिकता कळली  नशेबाजांना आदर्श मानून त्यांची पूजा करत जा रोज ,TIN,IND,
 फडणवीस सरकार असताना आरक्षनाचे राजकारण करुण तोंडाला फेस येई पर्यंत आरोप करणारे तोंडात मोगरी फसल्या सारखे गप्प आहेत... बा… ,TIN,GRP,
 मादरचोद    रांडाची औलाद आहात तुम्हीं साले गुंडे .... मी मरा… ,TIN,GRP,
 आईघाल्या नीट शब्दात बोलत होतो पण तुला इथं तुझी आई झवून घ्यायचीच आहे… ,TIN,IND,
 याचा भूगोल च खूप बेक्कार आहे इतिहास काय घडवणार मंद माणसा डोक्यात शेण भरलाय का तुझा मोदी चा  तो हागला की काय तुझा… ,TIN,IND,
 सारासार बुद्धी खरंच नाश पावली  याचा प्रत्यय येतोय रोज एका घटनेवरून. अहंकारी  हेकेखोरीचा दर्प आहे… ,UNT,NULL,
 अंधभक्तांना आता त्यांच्या गोट्या दाबायचा task देणार आहे  कोरोना गायब ,TIN,GRP,
 गप्प ए खुळ्या ल   .....तू आणि तुझे गायपट्यातले लोक्स तुमची तिकडेच काशी करा.....मुंबई आणि महाराष्ट्रात फक्त ,TIN,GRP,
 हे महाशय निवडूनच आले आहेत ना का उचलून आणले आहे ह्यांना सलग दुसऱ्या वर्षी 13 वा नंबर आला आहे जी माग… ,TIN,IND,
 मराठी भय्ये  भैय्याणी    महाराष्ट्राची भाषा मराठी आहे.   देवेंद्रभाऊंनी बिहारचा रस्ता पकडलाय हे मा… ,TIN,IND,
 आता समजलं तू बेरोजकार का आहेस....अस बोल्यावर तू नोकरी कोण देणार?? मुर्खा संसद चालू नसताना वटहुकूम… ,TIN,IND,
 अरे मुर्खा दादासाहेब फाळके होते तू जरा अभ्यास कर बर आता तर यांनी पण अभ्यास सुरू केलाय ,TIN,IND,
 भिकारचोट राजकारणानी मराठ्याचा घात केला आयुष्यात प्रथम डोळ्यात पाणी आले जबाबदारीन सांगतो हायकोर्टाचे निर्णय सुप्रिम… ,TIN,GRP,
 सांगितलं होतं माज कसा उतरावा हे आम्हाला चांगलंच ठाऊक आहे ,UNT,NULL,
